productId,setName,productName,rarity,subTypeName,marketPrice,midPrice,lowPrice,highPrice
478146,SWSH: Crown Zenith,Luxio (42),Uncommon,Normal,0.12,0.15,0.01,999.0
479682,World Championship Decks,Holon Scientist - 2007 (Jun Hasebe),Uncommon,Normal,2.97,3.11,2.5,42.6
479938,World Championship Decks,Palkia - 2009 (David Cohen),Rare,Normal,3.21,2.99,2.99,43.0
480450,World Championship Decks,Professor Juniper - 2011 (Christopher Kan),Uncommon,Normal,0.21,0.51,0.27,19.98
480706,World Championship Decks,Level Ball - 2013 (Ian Whiton),Uncommon,Normal,0.36,0.63,0.36,19.98
481730,World Championship Decks,Battle Compressor (Team Flare Gear) - 2016 (Cody Walinski),Uncommon,Normal,2.85,2.75,2.7,3.19
481986,World Championship Decks,Lycanroc GX - 2018 (Naohito Inoue),Ultra Rare,Normal,3.14,3.24,1.95,41.4
485058,World Championship Decks,Boss's Orders (Cyrus) - 2022 (Ondrej Skubal),Rare,Normal,0.24,0.26,0.15,19.98
485826,Platinum,Fall 2009 Collector's Tin [Garchomp LV.X],,,,,,
487874,SV01: Scarlet & Violet Base Set,Houndoom - 034/198,Common,Reverse Holofoil,0.22,0.24,0.05,19.98
487874,SV01: Scarlet & Violet Base Set,Houndoom - 034/198,Common,Normal,0.2,0.2,0.01,20.0
497602,SV02: Paldea Evolved,Fletchinder - 199/193,Illustration Rare,Holofoil,20.46,21.99,15.0,41.18
509890,SV03: Obsidian Flames,Houndour - 131/197,Common,Reverse Holofoil,0.3,0.3,0.1,1.51
509890,SV03: Obsidian Flames,Houndour - 131/197,Common,Normal,0.13,0.15,0.01,20.0
534210,SV: Paldean Fates,Donphan,Uncommon,Normal,0.04,0.15,0.01,20.0
534210,SV: Paldean Fates,Donphan,Uncommon,Reverse Holofoil,0.19,0.2,0.01,19.98
534466,SV: Paldean Fates,Skiploom,Shiny Rare,Holofoil,3.16,3.2,1.95,36.38
542658,SV05: Temporal Forces,Torterra ex - 012/162,Double Rare,Holofoil,0.83,0.98,0.41,7.0
542914,SV05: Temporal Forces,Gengar ex - 193/162,Ultra Rare,Holofoil,63.13,69.97,57.13,341.0
